code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
D055,"Kovai, small (Coccinia cordifolia)",1.22,2.41,0.24,0.47,3.25,19.12048
D056,Ladies finger (Abelmoschus esculentus),2.08,3.62,0.22,0.94,4.08,27.48569
D057,"Mango, green, raw (Mangifera indica)",0.69,10.59,0.08,0.49,3.01,48.99623
D058,"Onion, stalk (Allium cepa)",2.07,2.99,0.26,1.13,5.21,25.573642
D059,"Papaya, raw (Carica papaya)",0.5,4.4,0.23,0.55,2.28,23.9006
D060,Parwar (Trichosanthes dioica),1.4,3.54,0.3,0.59,2.61,24.139606
D061,"Peas, fresh (Pisum sativum)",7.25,11.88,0.13,1.05,6.32,81.26204
D062,"Plantain, flower (Musa x paradisiaca)",1.47,2.15,0.63,1.35,5.25,21.271534
D063,"Plantain, green (Musa x paradisiaca)",1.18,17.58,0.23,1.27,3.6,79.828004
D064,"Plantain, stem (Musa x paradisiaca)",0.35,8.64,0.16,1.2,2.12,39.43599
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",0.87,4.22,0.18,0.47,2.53,24.617618
D066,"Pumpkin, orange, round (Cucurbita maxima)",0.84,4,0.16,0.58,2.56,23.183582
D067,"Red gram, tender, fresh (Cajanus cajan)",8.09,19.46,0.92,1.64,5.9,124.28312
D068,Ridge gourd (Luffa acutangula),0.91,1.72,0.14,0.44,1.81,13.14533
D069,"Ridge gourd, smooth skin (Luffa acutangula)",0.98,2.24,0.13,0.53,1.85,15.296384
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",0.98,1.27,0.25,0.42,2.27,12.428312
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",0.89,1.23,0.25,0.45,2.27,11.9503
D072,"Snake gourd, short (Trichosanthes anguina)",0.54,2.15,0.26,0.41,2.29,14.579366
D073,"Tinda, tender (Praecitrullus fistulosus)",1.02,1.9,0.17,0.51,2,13.862348
D074,"Tomato, green (Lycopersicon esculentum)",1.12,3.18,0.27,0.6,1.62,20.793522
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",0.76,3.2,0.25,0.43,1.58,18.881474
D076,"Tomato, ripe, local (Lycopersicon esculentum)",0.9,2.71,0.47,0.52,1.77,19.598492
D077,"Zucchini, green (Cucurbita pepo)",1.1,2.33,0.51,0.93,2.3,20.076504
D078,"Zucchini, yellow (Cucurbita pepo)",1.31,2.2,0.44,1.08,1.84,18.881474
E001,"Apple, big (Malus domestica)",0.29,13.11,0.64,0.36,2.59,62.380566
E002,"Apple, green (Malus domestica)",0.46,10.65,0.5,0.31,2.54,51.147284
E003,"Apple, small (Malus domestica)",0.31,13.95,0.53,0.24,2.06,63.814602
E004,"Apple, small, Kashmir (Malus sylvestris)",0.27,13.99,0.6,0.29,2.07,64.292614
E005,"Apricot, dried (Prunus armeniaca)",3.17,72.63,0.74,3.46,3.32,315.726926
E006,"Apricot, processed (Prunus armeniaca)",1.47,10.93,0.64,0.61,0.59,56.405416
E007,Avocado fruit (Persea americana),2.95,1.75,13.86,1.19,6.69,144.359624
E008,Bael fruit (Aegle marmelos),2.63,28.21,0.57,0.91,6.31,135.994414
E009,"Banana, ripe, montham (Musa x paradisiaca)",1.25,24.95,0.32,1.15,2.21,110.659778
E010,"Banana, ripe, poovam (Musa x paradisiaca)",1.49,23.41,0.35,1.09,2.33,106.35767
E011,"Banana, ripe, red (Musa x paradisiaca)",1.29,25.21,0.29,0.95,1.98,111.615802
E012,"Banana, ripe, robusta (Musa x paradisiaca)",1.23,23.63,0.33,0.94,1.94,105.16264
E013,Black berry (Rubus fruticosus),0.92,10.64,0.63,0.52,4.35,54.254362
E014,"Cherries, red (Prunus cerasus)",1.49,11.87,0.46,0.45,2.12,59.7515
E015,"Currants, black (Ribes nigrum)",1.51,9.93,0.53,0.69,4.07,54.254362
E016,Custard apple (Annona squamosa),1.62,20.38,0.67,0.68,5.1,98.948484
E017,"Dates, dry, pale brown (Phoenix dactylifera)",2.45,74.91,0.35,2.2,8.95,320.26804
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2.38,72.67,0.35,2.39,9.1,310.946806
E019,"Dates, processed (Phoenix dactylifera)",1.18,67.95,0.41,1.93,6.52,286.090182
E020,Fig (Ficus carica),2.03,16.28,0.37,1.08,4.64,81.501046
E021,Goosberry (Emblica officinalis),0.34,4.39,0.16,0.34,7.75,23.661594
E022,"Grapes, seeded, round, black (Vitis vinifera)",0.76,13.23,0.32,0.46,1.35,60.707524
E023,"Grapes, seeded, round, green (Vitis vinifera)",0.77,12.19,0.29,0.43,1.25,56.16641
E024,"Grapes, seeded, round, red (Vitis vinifera)",0.95,12.55,0.29,0.48,1.28,58.317464
E025,"Grapes, seedless, oval, black (Vitis vinifera)",1.41,20.48,0.46,0.7,1.64,94.40737
E026,"Grapes, seedless, round, green (Vitis vinifera)",0.62,11.81,0.26,0.47,1.28,53.537344
E027,"Grapes, seedless, round, black (Vitis vinifera)",1.24,19.86,0.35,0.49,1.15,89.388244
E028,"Guava, white flesh (Psidium guajava)",1.44,5.13,0.32,0.72,8.59,32.26581
E029,"Guava, pink flesh (Psidium guajava)",1.19,9.14,0.25,0.81,7.39,46.60617
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",2.74,14.01,0.15,0.91,3.62,72.179812
E031,"Jambu fruit, ripe (Syzygium cumini)",0.82,12.3,0.17,0.31,3.07,56.16641
E032,Karonda fruit (Carissa carandas),1.15,2.87,1.67,1.02,7.25,33.699846
E033,"Lemon, juice (Citrus limon)",0.41,,0.75,0.28,,36.567918
E034,"Lime, sweet,pulp (Citrus limetta)",0.76,5.18,0.2,0.47,2.07,27.246684
E035,Litchi (Nephelium litchi),0.99,11.41,0.26,0.44,1.34,53.77635
E036,"Mango, ripe, banganapalli (Mangifera indica)",0.54,8.18,0.55,0.42,1.88,41.82605
E037,"Mango, ripe, gulabkhas (Mangifera indica)",0.52,10.32,0.53,0.32,1.67,49.952254
E038,"Mango, ripe, himsagar (Mangifera indica)",0.46,9.03,0.54,0.38,1.55,44.694122
E039,"Mango, ripe, kesar (Mangifera indica)",0.54,11.36,0.57,0.44,2.02,55.210386
E040,"Mango, ripe, neelam (Mangifera indica)",0.68,8.21,0.55,0.38,1.77,42.543068
E041,"Mango, ripe, paheri (Mangifera indica)",0.68,8.67,0.58,0.42,1.97,44.933128
E042,"Mango, ripe, totapari (Mangifera indica)",0.41,12.75,0.49,0.47,1.73,59.273488
E043,Mangosteen (Garcinia mangostana),0.63,11.41,0.24,0.33,1.87,52.342314
E044,Manila tamarind (Pithecellobium dulce),3.56,13.54,1.14,2.82,4.4,81.740052
E045,"Musk melon, orange flesh (Cucumis melon)",0.42,4.24,0.35,0.52,1.51,23.183582
E046,"Musk melon, yellow flesh (Cucumis melon)",0.53,5.4,0.26,0.48,1.49,27.724696
E047,"Orange, pulp (Citrus aurantium)",0.7,7.92,0.13,0.36,1.29,37.284936
E048,"Palm fruit, tender (Borassus flabellifer)",0.5,4.92,0.12,0.13,2.4,24.139606
E049,"Papaya, ripe (Carcia papaya)",0.42,4.61,0.16,0.51,2.83,23.9006
E050,Peach (Prunus communis),0.86,7.82,0.37,0.51,2.13,40.153008
E051,Pear (Pyrus sp.),0.36,8.09,0.27,0.32,4.48,37.523942
E052,Phalsa (Grewia asiatica),1.66,15.09,0.14,1.09,4.54,71.462794
E053,Pineapple (Ananas comosus),0.52,9.42,0.16,0.38,3.46,43.02108
E054,Plum (Prunus domestica),0.64,12.1,0.4,0.35,2.07,56.883428
E055,"Pomegranate, maroon seeds (Punica granatum)",1.33,11.58,0.15,0.57,2.83,54.732374
E056,Pummelo (Citrus maxima),0.68,10.64,0.42,0.49,0.8,50.19126
E057,"Raisins, dried, black (Vitis vinifera)",2.57,71.29,0.34,2.19,3.92,305.688674
E058,"Raisins, dried, golden (Vitis vinifera)",2.76,68.79,0.35,2.04,4.56,296.606446
E059,Rambutan (Nephelium lappaceum),0.68,16.84,0.16,0.43,1.02,73.135836
E060,Sapota (Achras sapota),0.92,13.9,1.26,0.68,9.6,73.374842
E061,Soursop (Annona muricata),0.74,11.94,0.94,0.58,4.95,62.14156
E062,Star fruit (Averrhoa carambola),0.79,4.51,0.39,0.33,2.81,26.29066
